Depth,CALI,CGR,DT,ILD,NPHI,PEF,PHIE,RHOB,RT,SGR,SW,Φda,ΦN,ΦND,Vpreal,ΔVp
3171.59,,,,,,,,,,,,,,,,
3171.6,8.89,4.01,64.81,79.62,0.13,3.83,0.11,2.66,78.21,40.3,0.13,0.10270270270270267,0.13,0.11714914669437361,4.70297793550378,1.0032618474437398
3171.75,8.66,4.72,63.77,76.02,0.13,3.81,0.11,2.67,75.48,42.73,0.15,0.09729729729729739,0.13,0.11481890972605226,4.779676964089697,1.0388770858375147
3171.9,8.72,5.62,63.0,74.63,0.12,3.81,0.1,2.69,74.91,46.1,0.16,0.08648648648648656,0.12,0.10459424540761605,4.838095238095239,1.0012372320529423
3172.05,8.71,6.66,62.79,75.34,0.11,3.81,0.1,2.7,77.14,49.73,0.16,0.08108108108108103,0.11,0.09662851988227088,4.854276158623985,0.9407185318731233
3172.2,,,,,,,,,,,,,,,,
3172.21,8.79,7.7,63.0,79.92,0.11,3.82,0.1,2.71,82.74,52.97,0.16,0.07567567567567574,0.11,0.09441082535644432,4.838095238095239,0.9339066893569266
3172.36,8.79,8.56,63.57,87.08,0.11,3.83,0.1,2.71,90.63,55.23,0.14,0.07567567567567574,0.11,0.09441082535644432,4.794714487966022,0.9157316265034883
3172.51,8.74,9.07,64.06,96.1,0.11,3.83,0.1,2.7,100.55,56.26,0.13,0.08108108108108103,0.11,0.09662851988227088,4.758039338120512,0.9004658126172433
3172.66,8.69,9.15,63.81,107.41,0.11,3.83,0.1,2.69,114.38,56.16,0.13,0.08648648648648656,0.11,0.09894420737157184,4.776680771039022,0.9082137272560469
3172.81,,,,,,,,,,,,,,,,
3172.82,8.61,8.84,62.89,125.14,0.11,3.82,0.1,2.68,133.03,55.24,0.13,0.09189189189189186,0.11,0.10135117117101099,4.846557481316585,0.9374669220011369
3172.97,8.58,8.26,61.57,145.2,0.11,3.82,0.09,2.67,156.15,53.84,0.13,0.09729729729729739,0.11,0.10384306443224475,4.950462887770018,0.9815733564974347
3173.12,8.64,7.53,60.27,173.05,0.11,3.83,0.09,2.66,185.24,52.32,0.13,0.10270270270270267,0.11,0.10641392094655598,5.0572424091587855,1.0276444303035985
3173.27,8.65,6.76,59.41,204.05,0.1,3.84,0.08,2.67,221.8,50.84,0.13,0.09729729729729739,0.1,0.09865790404564317,5.130449419289683,0.9817608567667131
3173.42,,,,,,,,,,,,,,,,
3173.43,8.81,6.12,58.83,249.19,0.1,3.87,0.08,2.67,257.53,49.48,0.13,0.09729729729729739,0.1,0.09865790404564317,5.181030086690464,1.0026540054259847
3173.58,8.76,5.69,58.39,270.4,0.09,3.91,0.07,2.68,306.0,48.3,0.13,0.09189189189189186,0.09,0.09095086529404528,5.220071930125021,0.9352553351765502
3173.73,8.76,5.4,58.17,360.93,0.09,3.95,0.07,2.69,379.68,47.34,0.12,0.08648648648648656,0.09,0.08826072836991893,5.239814337287261,0.9429046442879248
3173.88,8.77,5.25,58.19,408.62,0.09,3.97,0.07,2.7,488.08,46.65,0.11,0.08108108108108103,0.09,0.08565670350088438,5.238013404365011,0.9422059038963901
3174.03,8.75,5.21,58.41,610.64,0.09,3.99,0.07,2.71,608.98,46.24,0.09,0.07567567567567574,0.09,0.08314688174841574,5.2182845403184395,0.9345639434646129
3174.18,,,,,,,,,,,,,,,,
3174.19,8.75,5.25,58.79,606.43,0.09,3.99,0.08,2.71,500.86,46.12,0.1,0.07567567567567574,0.09,0.08314688174841574,5.184555196461984,0.9215525488688039
3174.34,8.75,5.47,59.3,338.01,0.1,3.99,0.08,2.71,327.23,46.38,0.11,0.07567567567567574,0.1,0.08867583630552932,5.139966273187184,0.9856797800701065
3174.49,8.81,6.02,59.81,310.58,0.1,3.99,0.09,2.71,293.69,47.25,0.1,0.07567567567567574,0.1,0.08867583630552932,5.096137769603745,0.9676787629803316
3174.64,8.74,6.94,60.17,267.64,0.11,3.97,0.09,2.69,269.4,48.92,0.1,0.08648648648648656,0.11,0.09894420737157184,5.065647332557753,1.0313024569566709
3174.79,,,,,,,,,,,,,,,,
3174.8,8.68,8.14,60.37,272.11,0.12,3.97,0.09,2.68,247.66,51.53,0.1,0.09189189189189186,0.12,0.10687403752893201,5.04886533046215,1.0968701433906713
3174.95,8.49,9.4,60.36,209.95,0.12,3.96,0.09,2.67,179.94,54.91,0.14,0.09729729729729739,0.12,0.109240020279563,5.049701789264414,1.0972556296727292
3175.1,8.53,10.33,60.13,133.64,0.13,3.95,0.07,2.66,112.84,58.49,0.21,0.10270270270270267,0.13,0.11714914669437361,5.069017129552636,1.176947986586772
3175.25,8.55,10.64,59.68,80.76,0.13,3.93,0.07,2.66,70.12,61.53,0.27,0.10270270270270267,0.13,0.11714914669437361,5.107238605898123,1.19561461460431
3175.4,,,,,,,,,,,,,,,,
3175.41,8.73,10.37,59.16,53.7,0.13,3.9,0.07,2.66,48.66,63.31,0.31,0.10270270270270267,0.13,0.11714914669437361,5.152129817444219,1.217662958356995
3175.56,8.69,9.72,58.7,40.9,0.13,3.86,0.08,2.66,37.82,63.49,0.32,0.10270270270270267,0.13,0.11714914669437361,5.1925042589437815,1.2376066996138304
3175.71,8.56,9.04,58.37,33.06,0.12,3.82,0.08,2.66,30.97,62.29,0.31,0.10270270270270267,0.12,0.11168671618066253,5.221860544800411,1.1775750883056713
3175.86,8.59,8.68,58.3,27.76,0.12,3.79,0.08,2.67,25.45,60.35,0.35,0.09729729729729739,0.12,0.109240020279563,5.228130360205832,1.1805366068859557
3176.01,,,,,,,,,,,,,,,,
3176.02,8.67,8.78,58.53,21.89,0.12,3.76,0.08,2.67,20.13,58.57,0.39,0.09729729729729739,0.12,0.109240020279563,5.207585853408508,1.170841948256097
